Year,Quarter,Time,RealGDP,TBillRate
1984,1,3/1/1984,6448.264,9.17
1984,2,6/1/1984,6559.594,9.796667
1984,3,9/1/1984,6623.343,10.32
1984,4,12/1/1984,6677.264,8.803333
1985,1,3/1/1985,6740.275,8.183333
1985,2,6/1/1985,6797.344,7.46
1985,3,9/1/1985,6903.523,7.106667
1985,4,12/1/1985,6955.918,7.166667
1986,1,3/1/1986,7022.757,6.896667
1986,2,6/1/1986,7050.969,6.14
1986,3,9/1/1986,7118.950,5.523333
1986,4,12/1/1986,7153.359,5.353333
1987,1,3/1/1987,7193.019,5.536667
1987,2,6/1/1987,7269.510,5.656667
1987,3,9/1/1987,7332.558,6.043333
1987,4,12/1/1987,7458.022,5.863333
1988,1,3/1/1988,7496.600,5.723333
1988,2,6/1/1988,7592.881,6.21
1988,3,9/1/1988,7632.082,7.01
1988,4,12/1/1988,7733.991,7.726667
1989,1,3/1/1989,7806.603,8.54
1989,2,6/1/1989,7865.016,8.41
1989,3,9/1/1989,7927.393,7.843333
1989,4,12/1/1989,7944.697,7.653333
1990,1,3/1/1990,8027.693,7.76
1990,2,6/1/1990,8059.598,7.746667
1990,3,9/1/1990,8059.476,7.476667
1990,4,12/1/1990,7988.864,6.99
1991,1,3/1/1991,7950.164,6.023333
1991,2,6/1/1991,8003.822,5.56
1991,3,9/1/1991,8037.538,5.376667
1991,4,12/1/1991,8069.046,4.54
1992,1,3/1/1992,8157.616,3.893333
1992,2,6/1/1992,8244.294,3.68
1992,3,9/1/1992,8329.361,3.083333
1992,4,12/1/1992,8417.016,3.07
1993,1,3/1/1993,8432.485,2.96
1993,2,6/1/1993,8486.435,2.966667
1993,3,9/1/1993,8531.108,3.003333
1993,4,12/1/1993,8643.769,3.06
1994,1,3/1/1994,8727.919,3.243333
1994,2,6/1/1994,8847.303,3.986667
1994,3,9/1/1994,8904.289,4.476667
1994,4,12/1/1994,9003.180,5.28
1995,1,3/1/1995,9025.267,5.736667
1995,2,6/1/1995,9044.668,5.596667
1995,3,9/1/1995,9120.684,5.366667
1995,4,12/1/1995,9184.275,5.26
1996,1,3/1/1996,9247.188,4.93
1996,2,6/1/1996,9407.052,5.02
1996,3,9/1/1996,9488.879,5.096667
1996,4,12/1/1996,9592.458,4.976667
1997,1,3/1/1997,9666.235,5.06
1997,2,6/1/1997,9809.551,5.046667
1997,3,9/1/1997,9932.672,5.046667
1997,4,12/1/1997,10008.874,5.09
1998,1,3/1/1998,10103.425,5.053333
1998,2,6/1/1998,10194.277,4.976667
1998,3,9/1/1998,10328.787,4.823333
1998,4,12/1/1998,10507.575,4.253333
1999,1,3/1/1999,10601.179,4.406667
1999,2,6/1/1999,10684.049,4.453333
1999,3,9/1/1999,10819.914,4.65
1999,4,12/1/1999,11014.254,5.043333
2000,1,3/1/2000,11043.044,5.52
2000,2,6/1/2000,11258.454,5.713333
2000,3,9/1/2000,11267.867,6.016667
2000,4,12/1/2000,11334.544,6.016667
2001,1,3/1/2001,11297.171,4.816667
2001,2,6/1/2001,11371.251,3.66
2001,3,9/1/2001,11340.075,3.17
2001,4,12/1/2001,11380.128,1.906667
2002,1,3/1/2002,11477.868,1.723333
2002,2,6/1/2002,11538.770,1.716667
2002,3,9/1/2002,11596.430,1.643333
2002,4,12/1/2002,11598.824,1.333333
2003,1,3/1/2003,11645.819,1.156667
2003,2,6/1/2003,11738.706,1.04
2003,3,9/1/2003,11935.461,0.93
2003,4,12/1/2003,12042.817,0.9166667
2004,1,3/1/2004,12127.623,0.9166667
2004,2,6/1/2004,12213.818,1.076667
2004,3,9/1/2004,12303.533,1.486667
2004,4,12/1/2004,12410.282,2.006667
2005,1,3/1/2005,12534.113,2.536667
2005,2,6/1/2005,12587.535,2.863333
2005,3,9/1/2005,12683.153,3.36
2005,4,12/1/2005,12748.699,3.826667
2006,1,3/1/2006,12915.938,4.393333
2006,2,6/1/2006,12962.462,4.703333
2006,3,9/1/2006,12965.916,4.906667
2006,4,12/1/2006,13060.679,4.903333
2007,1,3/1/2007,13089.316,4.983333
2007,2,6/1/2007,13194.148,4.736667
2007,3,9/1/2007,13268.458,4.303333
2007,4,12/1/2007,13363.488,3.39
2008,1,3/1/2008,13339.175,2.043333
2008,2,6/1/2008,13359.046,1.626667
2008,3,9/1/2008,13223.507,1.493333
2008,4,12/1/2008,12993.665,0.2966667
2009,1,3/1/2009,12832.619,0.2133333
2009,2,6/1/2009,12810.012,0.1733333
2009,3,9/1/2009,12860.800,0.1566667
2009,4,12/1/2009,13019.012,0.05666667
