date;Crest_share;step.ADA
20-01-1955;0.21;0
27-01-1955;0.19;0
03-02-1955;0.2;0
10-02-1955;0.18;0
17-02-1955;0.27;0
24-02-1955;0.2;0
03-03-1955;0.17;0
10-03-1955;0.14;0
17-03-1955;0.22;0
24-03-1955;0.13;0
31-03-1955;0.12;0
07-04-1955;0.08;0
14-04-1955;0.12;0
21-04-1955;0.13;0
28-04-1955;0.11;0
05-05-1955;0.12;0
12-05-1955;0.15;0
19-05-1955;0.12;0
26-05-1955;0.13;0
02-06-1955;0.13;0
09-06-1955;0.13;0
16-06-1955;0.16;0
23-06-1955;0.14;0
30-06-1955;0.14;0
07-07-1955;0.13;0
14-07-1955;0.17;0
21-07-1955;0.15;0
28-07-1955;0.21;0
04-08-1955;0.31;1
11-08-1955;0.24;1
18-08-1955;0.38;1
25-08-1955;0.36;1
01-09-1955;0.33;1
08-09-1955;0.36;1
15-09-1955;0.35;1
22-09-1955;0.32;1
29-09-1955;0.33;1
06-10-1955;0.37;1
13-10-1955;0.37;1
20-10-1955;0.31;1
27-10-1955;0.3;1
03-11-1955;0.31;1
10-11-1955;0.32;1
17-11-1955;0.28;1
24-11-1955;0.3;1
01-12-1955;0.34;1
08-12-1955;0.34;1
15-12-1955;0.34;1
22-12-1955;0.31;1
29-12-1955;0.32;1
05-01-1956;0.37;1
12-01-1956;0.32;1
19-01-1956;0.29;1
26-01-1956;0.36;1
02-02-1956;0.24;1
09-02-1956;0.32;1
16-02-1956;0.34;1
23-02-1956;0.29;1
01-03-1956;0.34;1
08-03-1956;0.19;1
15-03-1956;0.41;1
22-03-1956;0.37;1
29-03-1956;0.27;1
05-04-1956;0.32;1
12-04-1956;0.25;1
19-04-1956;0.33;1
26-04-1956;0.37;1
03-05-1956;0.29;1
10-05-1956;0.37;1
17-05-1956;0.41;1
24-05-1956;0.32;1
31-05-1956;0.36;1
07-06-1956;0.31;1
14-06-1956;0.29;1
21-06-1956;0.42;1
28-06-1956;0.3;1
05-07-1956;0.38;1
12-07-1956;0.35;1
19-07-1956;0.42;1
26-07-1956;0.43;1
02-08-1956;0.45;1
09-08-1956;0.41;1
16-08-1956;0.28;1
23-08-1956;0.41;1
30-08-1956;0.43;1
06-09-1956;0.36;1
13-09-1956;0.39;1
20-09-1956;0.38;1
27-09-1956;0.27;1
04-10-1956;0.24;1
11-10-1956;0.33;1
18-10-1956;0.34;1
25-10-1956;0.4;1
01-11-1956;0.36;1
08-11-1956;0.3;1
15-11-1956;0.31;1
22-11-1956;0.39;1
29-11-1956;0.3;1
06-12-1956;0.38;1
13-12-1956;0.35;1
20-12-1956;0.44;1
27-12-1956;0.36;1
03-01-1957;0.43;1
10-01-1957;0.43;1
17-01-1957;0.45;1
24-01-1957;0.53;1
31-01-1957;0.43;1
07-02-1957;0.42;1
14-02-1957;0.41;1
21-02-1957;0.42;1
28-02-1957;0.43;1
07-03-1957;0.39;1
14-03-1957;0.39;1
21-03-1957;0.39;1
28-03-1957;0.44;1
04-04-1957;0.42;1
11-04-1957;0.36;1
18-04-1957;0.4;1
25-04-1957;0.39;1
02-05-1957;0.46;1
09-05-1957;0.44;1
16-05-1957;0.39;1
23-05-1957;0.37;1
30-05-1957;0.39;1
06-06-1957;0.31;1
13-06-1957;0.35;1
20-06-1957;0.41;1
27-06-1957;0.34;1
04-07-1957;0.36;1
11-07-1957;0.41;1
18-07-1957;0.38;1
25-07-1957;0.27;1
01-08-1957;0.35;1
08-08-1957;0.44;1
15-08-1957;0.36;1
22-08-1957;0.44;1
29-08-1957;0.41;1
05-09-1957;0.38;1
12-09-1957;0.36;1
19-09-1957;0.37;1
26-09-1957;0.37;1
03-10-1957;0.35;1
10-10-1957;0.38;1
17-10-1957;0.33;1
24-10-1957;0.47;1
31-10-1957;0.4;1
07-11-1957;0.44;1
14-11-1957;0.42;1
21-11-1957;0.43;1
28-11-1957;0.39;1
05-12-1957;0.45;1
12-12-1957;0.32;1
19-12-1957;0.41;1
26-12-1957;0.4;1
02-01-1958;0.42;1
09-01-1958;0.43;1
16-01-1958;0.45;1
23-01-1958;0.43;1
30-01-1958;0.33;1
06-02-1958;0.39;1
13-02-1958;0.38;1
20-02-1958;0.47;1
27-02-1958;0.48;1
06-03-1958;0.37;1
13-03-1958;0.47;1
20-03-1958;0.4;1
27-03-1958;0.39;1
03-04-1958;0.47;1
10-04-1958;0.38;1
